benchmark_tag,best_fixed_success,episode_seed,family,git_commit,keep_collision_free,keep_completion_time,keep_deadlock,keep_goal_reached,keep_irreversible_collapse,keep_success,keep_time_in_formation_tube,layout_id,line_collision_free,line_completion_time,line_deadlock,line_goal_reached,line_irreversible_collapse,line_success,line_time_in_formation_tube,oracle_collision_free,oracle_completion_time,oracle_deadlock,oracle_goal_reached,oracle_irreversible_collapse,oracle_success,oracle_switches,oracle_time_in_formation_tube,split_collision_free,split_completion_time,split_deadlock,split_goal_reached,split_irreversible_collapse,split_success,split_time_in_formation_tube,switch_necessity,team_size
method-audit-v2-complete,1.0,20000602,line_corridor,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,nan,0.0,0.0,0.0,0.0,0.36666666666666664,val_line_corridor_001,1.0,15.75,0.0,1.0,0.0,1.0,0.9047619047619048,1.0,nan,0.0,0.0,0.0,0.0,2,0.25,1.0,nan,0.0,0.0,1.0,0.0,0.15833333333333333,0,6
method-audit-v2-complete,1.0,20000603,line_corridor,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,nan,0.0,0.0,0.0,0.0,0.36666666666666664,val_line_corridor_001,1.0,15.75,0.0,1.0,0.0,1.0,0.9047619047619048,1.0,nan,0.0,0.0,0.0,0.0,2,0.25,1.0,nan,1.0,0.0,1.0,0.0,0.15833333333333333,0,6
method-audit-v2-complete,1.0,20000400,line_corridor,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,13.65,0.0,1.0,0.0,1.0,0.8791208791208791,val_line_corridor_002,1.0,15.45,0.0,1.0,0.0,1.0,0.9320388349514563,1.0,13.65,0.0,1.0,0.0,1.0,0,0.8791208791208791,1.0,nan,1.0,0.0,1.0,0.0,0.15,0,4
method-audit-v2-complete,1.0,20000401,line_corridor,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,13.5,0.0,1.0,0.0,1.0,0.8777777777777778,val_line_corridor_002,1.0,15.6,0.0,1.0,0.0,1.0,0.9230769230769231,1.0,13.5,0.0,1.0,0.0,1.0,0,0.8777777777777778,1.0,nan,0.0,0.0,1.0,0.0,0.15,0,4
method-audit-v2-complete,1.0,20000402,line_corridor,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,13.5,0.0,1.0,0.0,1.0,0.8777777777777778,val_line_corridor_002,1.0,15.299999999999999,0.0,1.0,0.0,1.0,0.9313725490196079,1.0,13.5,0.0,1.0,0.0,1.0,0,0.8777777777777778,1.0,nan,0.0,0.0,1.0,0.0,0.15833333333333333,0,4
method-audit-v2-complete,1.0,20000403,line_corridor,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,13.5,0.0,1.0,0.0,1.0,0.8777777777777778,val_line_corridor_002,1.0,15.6,0.0,1.0,0.0,1.0,0.9230769230769231,1.0,13.5,0.0,1.0,0.0,1.0,0,0.8777777777777778,1.0,nan,0.0,0.0,1.0,0.0,0.15,0,4
method-audit-v2-complete,1.0,20000600,line_corridor,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,nan,0.0,0.0,0.0,0.0,0.35833333333333334,val_line_corridor_002,1.0,15.6,0.0,1.0,0.0,1.0,0.9134615384615384,1.0,nan,1.0,0.0,1.0,0.0,2,0.24166666666666667,1.0,nan,1.0,0.0,1.0,0.0,0.15833333333333333,0,6
method-audit-v2-complete,1.0,20000601,line_corridor,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,nan,0.0,0.0,0.0,0.0,0.36666666666666664,val_line_corridor_002,1.0,15.45,0.0,1.0,0.0,1.0,0.912621359223301,1.0,nan,0.0,0.0,0.0,0.0,2,0.24166666666666667,1.0,nan,1.0,0.0,1.0,0.0,0.15833333333333333,0,6
method-audit-v2-complete,1.0,20000602,line_corridor,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,nan,0.0,0.0,0.0,0.0,0.36666666666666664,val_line_corridor_002,1.0,15.6,0.0,1.0,0.0,1.0,0.9038461538461539,1.0,nan,0.0,0.0,0.0,0.0,3,0.4166666666666667,1.0,nan,1.0,0.0,1.0,0.0,0.15833333333333333,0,6
method-audit-v2-complete,1.0,20000603,line_corridor,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,nan,0.0,0.0,0.0,0.0,0.35833333333333334,val_line_corridor_002,1.0,15.6,0.0,1.0,0.0,1.0,0.9038461538461539,1.0,nan,0.0,0.0,0.0,0.0,3,0.49166666666666664,1.0,nan,1.0,0.0,1.0,0.0,0.15833333333333333,0,6
method-audit-v2-complete,1.0,20000400,line_corridor,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,13.049999999999999,0.0,1.0,0.0,1.0,0.8735632183908046,val_line_corridor_003,1.0,15.149999999999999,0.0,1.0,0.0,1.0,0.9306930693069307,1.0,13.049999999999999,0.0,1.0,0.0,1.0,0,0.8735632183908046,1.0,nan,0.0,0.0,1.0,0.0,0.15,0,4
method-audit-v2-complete,1.0,20000401,line_corridor,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,12.9,0.0,1.0,0.0,1.0,0.872093023255814,val_line_corridor_003,1.0,15.299999999999999,0.0,1.0,0.0,1.0,0.9215686274509803,1.0,12.9,0.0,1.0,0.0,1.0,0,0.872093023255814,1.0,nan,0.0,0.0,1.0,0.0,0.15,0,4
method-audit-v2-complete,1.0,20000402,line_corridor,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,12.75,0.0,1.0,0.0,1.0,0.8705882352941177,val_line_corridor_003,1.0,15.0,0.0,1.0,0.0,1.0,0.93,1.0,12.75,0.0,1.0,0.0,1.0,0,0.8705882352941177,1.0,nan,0.0,0.0,1.0,0.0,0.15833333333333333,0,4
method-audit-v2-complete,1.0,20000403,line_corridor,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,12.9,0.0,1.0,0.0,1.0,0.872093023255814,val_line_corridor_003,1.0,15.45,0.0,1.0,0.0,1.0,0.9223300970873787,1.0,15.299999999999999,0.0,1.0,1.0,1.0,4,0.39215686274509803,1.0,nan,0.0,0.0,1.0,0.0,0.15,0,4
method-audit-v2-complete,1.0,20000600,line_corridor,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,nan,0.0,0.0,0.0,0.0,0.375,val_line_corridor_003,1.0,15.45,0.0,1.0,0.0,1.0,0.912621359223301,1.0,nan,0.0,0.0,0.0,0.0,2,0.225,1.0,nan,1.0,0.0,1.0,0.0,0.15833333333333333,0,6
method-audit-v2-complete,1.0,20000601,line_corridor,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,nan,0.0,0.0,0.0,0.0,0.375,val_line_corridor_003,1.0,15.299999999999999,0.0,1.0,0.0,1.0,0.9117647058823529,1.0,17.099999999999998,0.0,1.0,0.0,1.0,3,0.5263157894736842,1.0,nan,1.0,0.0,1.0,0.0,0.15833333333333333,0,6
method-audit-v2-complete,1.0,20000602,line_corridor,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,nan,0.0,0.0,0.0,0.0,0.375,val_line_corridor_003,1.0,15.45,0.0,1.0,0.0,1.0,0.9029126213592233,1.0,17.099999999999998,0.0,1.0,0.0,1.0,3,0.5175438596491229,1.0,nan,1.0,0.0,1.0,0.0,0.15833333333333333,0,6
method-audit-v2-complete,1.0,20000603,line_corridor,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,nan,0.0,0.0,0.0,0.0,0.375,val_line_corridor_003,1.0,15.45,0.0,1.0,0.0,1.0,0.9029126213592233,1.0,nan,0.0,0.0,0.0,0.0,2,0.225,1.0,nan,1.0,0.0,1.0,0.0,0.15833333333333333,0,6
