schema_version,team_size,topology_id,fixture_class,seed,heading_radians,valid_initial_condition,rejection_reasons,initial_formation_error_meters,maximum_formation_error_meters,final_formation_error_meters,final_formation_rms_meters,first_tube_entry_step,dwell_completed,goal_reached,final_goal_error_meters,completion_step,minimum_robot_robot_distance_meters,collision_free,saturation_rate,projection_intervention_rate,projection_infeasible_count,solver_failure_count,deadlock,numerical_failure,controller_calls,per_robot_latency_median_seconds,per_robot_latency_p95_seconds,per_robot_latency_p99_seconds,simulator_orchestration_seconds
rvt-phase6-qualification/v1,8,2,bounded_position,61005,0.0,True,(),0.05145604788984131,0.05145604788984131,0.0004097661336312542,0.0002721202417565279,0,True,True,0.00012750418457643223,19,0.8463771109857933,True,0.0,0.0,0,0,False,False,640,0.0005528749999998972,0.00164646279999947,0.0022547800099997697,0.01977070600000186
rvt-phase6-qualification/v1,8,2,bounded_velocity,61001,0.0,True,(),9.536743172944284e-08,0.0728691692779225,0.0018937486106806688,0.00105430958600929,0,True,True,0.00020447088667223796,19,0.8452882024850786,True,0.0,0.0,0,0,False,False,640,0.00055362499999978,0.0016173770999995615,0.002200262989999944,0.022284582999997582
rvt-phase6-qualification/v1,8,2,bounded_velocity,61002,0.0,True,(),9.536743172944284e-08,0.06672258453676119,0.0014518319101540923,0.0008634033653538584,0,True,True,0.00017624236937091895,19,0.8383544078890607,True,0.0,0.0,0,0,False,False,640,0.0005525835000002033,0.001677855649999671,0.0027396269999998522,0.019402791999997504
rvt-phase6-qualification/v1,8,2,bounded_velocity,61003,0.0,True,(),9.536743172944284e-08,0.07873922408168324,0.0008463378252966638,0.0005895829236787506,0,True,True,0.0002701020188961851,19,0.8186787854988873,True,0.0,0.0,0,0,False,False,640,0.0005578959999996691,0.001726164900000215,0.002404295129999694,0.020632164000006448
rvt-phase6-qualification/v1,8,2,bounded_velocity,61004,0.0,True,(),9.536743172944284e-08,0.0761911056535023,0.0014117393767413236,0.0009106628108120374,0,True,True,0.00038502784170625913,19,0.8145718742079571,True,0.0,0.0,0,0,False,False,640,0.0005526250000000843,0.0015535125000006194,0.00238572000999966,0.019250040000003743
rvt-phase6-qualification/v1,8,2,bounded_velocity,61005,0.0,True,(),9.536743172944284e-08,0.0774249523289366,0.0017325594678603909,0.0011411214304456222,0,True,True,0.00013624937724820567,19,0.8292178291675535,True,0.0,0.0,0,0,False,False,640,0.0005554789999995258,0.0018699128499997547,0.002591710879999953,0.021690542000001756
rvt-phase6-qualification/v1,8,2,combined_perturbation,61001,0.0,True,(),0.05205469464781709,0.07361684804059367,0.001782228887315305,0.0009788383072341783,0,True,True,0.00020893795405933256,19,0.7964588281224627,True,0.0,0.0,0,0,False,False,640,0.0005510415000000712,0.0016966354499996501,0.00231761776000032,0.020156791000000673
rvt-phase6-qualification/v1,8,2,combined_perturbation,61002,0.0,True,(),0.045622903353753755,0.06653506530608967,0.001121723562171281,0.0008444225685295587,0,True,True,0.00020952883616073395,19,0.8137125649220911,True,0.0,0.0,0,0,False,False,640,0.0005538955000004009,0.001679795849999753,0.0022985764999996416,0.02297037100000132
rvt-phase6-qualification/v1,8,2,combined_perturbation,61003,0.0,True,(),0.051294074469491066,0.09132036020544114,0.002309934401146217,0.0014186718264906821,0,True,True,0.0003978416493825507,19,0.7776776867337368,True,0.0,0.0,0,0,False,False,640,0.0005472709999998493,0.0016565752999996952,0.0027912845100001183,0.02124791600000453
rvt-phase6-qualification/v1,8,2,combined_perturbation,61004,0.0,True,(),0.049838363682818104,0.06745397756043806,0.0021650754098932854,0.0012109387910133542,0,True,True,0.0003631066161334686,19,0.7708879197519066,True,0.0,0.0,0,0,False,False,640,0.0005633330000001102,0.0017182708500000476,0.002840780359999917,0.021335289000003144
rvt-phase6-qualification/v1,8,2,combined_perturbation,61005,0.0,True,(),0.05145604788984131,0.07484140373975369,0.0012300116011406857,0.0008254033885570488,0,True,True,0.0004053402783458657,19,0.8028536173457146,True,0.0,0.0,0,0,False,False,640,0.0005478335000002055,0.001537722299999488,0.0022394637499998904,0.01849225000000221
rvt-phase6-qualification/v1,12,0,exact_topology,61001,0.0,True,(),3.371747876161245e-08,3.371747876161245e-08,3.371747876161245e-08,2.7096632490761605e-08,0,True,True,1.850371707708594e-17,19,0.9,True,0.0,0.0,0,0,False,False,960,0.0009735839999991391,0.0027809166499999983,0.0036244162500006596,0.047939954999996814
rvt-phase6-qualification/v1,12,0,exact_topology,61002,0.0,True,(),3.371747876161245e-08,3.371747876161245e-08,3.371747876161245e-08,2.7096632490761605e-08,0,True,True,1.850371707708594e-17,19,0.9,True,0.0,0.0,0,0,False,False,960,0.0009654169999997464,0.002931748249999354,0.00353010743999893,0.08254229599999974
rvt-phase6-qualification/v1,12,0,exact_topology,61003,0.0,True,(),3.371747876161245e-08,3.371747876161245e-08,3.371747876161245e-08,2.7096632490761605e-08,0,True,True,1.850371707708594e-17,19,0.9,True,0.0,0.0,0,0,False,False,960,0.000968000000000302,0.002909385450000989,0.0035639367500002,0.07096133100000035
rvt-phase6-qualification/v1,12,0,exact_topology,61004,0.0,True,(),3.371747876161245e-08,3.371747876161245e-08,3.371747876161245e-08,2.7096632490761605e-08,0,True,True,1.850371707708594e-17,19,0.9,True,0.0,0.0,0,0,False,False,960,0.000980853999999809,0.0029510978999998105,0.005398279659999593,0.07352282900000695
rvt-phase6-qualification/v1,12,0,exact_topology,61005,0.0,True,(),3.371747876161245e-08,3.371747876161245e-08,3.371747876161245e-08,2.7096632490761605e-08,0,True,True,1.850371707708594e-17,19,0.9,True,0.0,0.0,0,0,False,False,960,0.0009762289999999396,0.002876497600000237,0.003938497499999716,0.05508742400000166
rvt-phase6-qualification/v1,12,0,bounded_position,61001,0.0,True,(),0.0539575834865659,0.0539575834865659,0.0006048413691184572,0.00036030985343118137,0,True,True,3.942713260154899e-05,19,0.8313362351737961,True,0.0,0.0,0,0,False,False,960,0.0009865205000001431,0.003025400599999894,0.003963209029999835,0.055421501999998846
rvt-phase6-qualification/v1,12,0,bounded_position,61002,0.0,True,(),0.046785826577247856,0.046785826577247856,0.000794331400052563,0.00043261662158961895,0,True,True,7.336384194053675e-05,19,0.8278689142839415,True,0.0,0.0,0,0,False,False,960,0.0009871040000000164,0.0029378541999999447,0.0036117116900004826,0.06184333199999781
rvt-phase6-qualification/v1,12,0,bounded_position,61003,0.0,True,(),0.05940485376078366,0.05940485376078366,0.0007952792689141578,0.0004731959944955335,0,True,True,0.00010812835705801383,19,0.8285292581102903,True,0.0,0.0,0,0,False,False,960,0.0009849790000000525,0.0028684815500013444,0.00371585353000002,0.08880420399999256
rvt-phase6-qualification/v1,12,0,bounded_position,61004,0.0,True,(),0.05379804632563155,0.05379804632563155,0.0006755627083983026,0.0004058879548561625,0,True,True,0.0001529189374606888,19,0.8259425120815785,True,0.0,0.0,0,0,False,False,960,0.0009870209999998103,0.0029456027000005487,0.003919886530000373,0.08005829500000328
rvt-phase6-qualification/v1,12,0,bounded_position,61005,0.0,True,(),0.057966459156815635,0.057966459156815635,0.0006740581098772024,0.0004140447383694215,0,True,True,7.777542173773971e-05,19,0.8462502571669737,True,0.0,0.0,0,0,False,False,960,0.0009817080000003031,0.0029435603999995227,0.0037496763100000052,0.05165571199999963
rvt-phase6-qualification/v1,12,0,bounded_velocity,61001,0.0,True,(),3.371747876161245e-08,0.07487725414590535,0.0013936434942401503,0.0008111869461236071,0,True,True,6.898567336023707e-05,19,0.8110323113459804,True,0.0,0.0,0,0,False,False,960,0.0009940210000003447,0.0029747229499994085,0.0038743032800009477,0.07395474900000387
rvt-phase6-qualification/v1,12,0,bounded_velocity,61002,0.0,True,(),3.371747876161245e-08,0.06608281073428807,0.0014030418823009366,0.0008187875377239215,0,True,True,7.796509972298873e-05,19,0.8047005509536237,True,0.0,0.0,0,0,False,False,960,0.00098222899999989,0.0029592771000011447,0.0038360894399993113,0.048351128999993165
rvt-phase6-qualification/v1,12,0,bounded_velocity,61003,0.0,True,(),3.371747876161245e-08,0.08700636394220673,0.002224708261808895,0.0012418738181340903,0,True,True,8.126881615794092e-05,19,0.7988939555514551,True,0.0,0.0,0,0,False,False,960,0.0009902079999992708,0.0029206868499998414,0.0036493210300002203,0.051446875000007
rvt-phase6-qualification/v1,12,0,bounded_velocity,61004,0.0,True,(),3.371747876161245e-08,0.07834122731729588,0.001684401582876375,0.0009070351364442177,0,True,True,0.00014682417959068186,19,0.79114295401903,True,0.0,0.0,0,0,False,False,960,0.000983291499999872,0.0028528431499998948,0.004667862159999487,0.05152787800001235
rvt-phase6-qualification/v1,12,0,bounded_velocity,61005,0.0,True,(),3.371747876161245e-08,0.0823547988593072,0.001801274618208969,0.001046043346460212,0,True,True,6.42224006264896e-05,19,0.8299173283071767,True,0.0,0.0,0,0,False,False,960,0.0009813124999995537,0.0028898964500001503,0.004026678190000083,0.05923483099999238
rvt-phase6-qualification/v1,12,0,combined_perturbation,61001,0.0,True,(),0.0539575834865659,0.10490650448738603,0.0014615469778165534,0.0010271792110692966,0,True,True,0.0001774179502139417,19,0.771536398869003,True,0.0,0.0,0,0,False,False,960,0.0009952289999990427,0.002919694100000658,0.0036233372800007044,0.05379149999999733
rvt-phase6-qualification/v1,12,0,combined_perturbation,61002,0.0,True,(),0.046785826577247856,0.09934659477078295,0.002008172090309,0.001124534637646671,0,True,True,0.0003169339125134502,19,0.7573000447775521,True,0.0,0.0,0,0,False,False,960,0.0009932705000004205,0.0027422100999993757,0.0036843318100001445,0.06171037400000223
rvt-phase6-qualification/v1,12,0,combined_perturbation,61003,0.0,True,(),0.05940485376078366,0.09643587221818808,0.0016126211618480851,0.001039835120798567,0,True,True,3.37246740619415e-05,19,0.8083224085820518,True,0.0,0.0,0,0,False,False,960,0.000982978999999773,0.002979521149998642,0.003826679839999561,0.04919520899999874
rvt-phase6-qualification/v1,12,0,combined_perturbation,61004,0.0,True,(),0.05379804632563155,0.0937007199855458,0.0011522458248216518,0.0007495240698592458,0,True,True,0.00024115610257455,19,0.7512925412710164,True,0.0,0.0,0,0,False,False,960,0.0009863750000000948,0.003065106549999985,0.004347888749999952,0.05809274300000489
rvt-phase6-qualification/v1,12,0,combined_perturbation,61005,0.0,True,(),0.057966459156815635,0.09222968478489851,0.0026288073751792795,0.001458159775371983,0,True,True,0.0002088526524905575,19,0.7763196135365369,True,0.0,0.0,0,0,False,False,960,0.0009850414999998947,0.0030325756500011454,0.0036203995600006408,0.05815554599999473
