team_size,topology_id,fixture_class,episode_count,valid_initial_condition_rate,collision_free_rate,dwell_completion_rate,goal_reaching_rate,deadlock_rate,numerical_failure_rate,minimum_robot_robot_distance_meters,mean_initial_formation_error_meters,mean_maximum_formation_error_meters,mean_final_formation_error_meters,mean_final_goal_error_meters,mean_saturation_rate,mean_projection_intervention_rate,projection_infeasible_count,solver_failure_count,median_of_episode_controller_latency_seconds
8,0,bounded_velocity,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7727075165569347,5.2538481191342785e-08,0.07152484849399024,0.001577649973800592,0.0001202035559962361,0.0,0.0,0,0,0.0006422079999994779
8,0,combined_perturbation,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7394245807743959,0.05005322415909863,0.07559037995426673,0.0016808052445152616,0.00021688805463735932,0.0,0.0,0,0,0.0006433330000001902
8,0,exact_topology,5,1.0,1.0,1.0,1.0,0.0,0.0,0.8999999999999999,5.2538481191342785e-08,5.2538481191342785e-08,5.2538481191342785e-08,5.618469141565346e-17,0.0,0.0,0,0,0.0006386250000001148
8,2,bounded_position,5,1.0,1.0,1.0,1.0,0.0,0.0,0.8374560027164866,0.050053216808744264,0.050053216808744264,0.0006975293665560905,0.00010729345276768926,0.0,0.0,0,0,0.000550395999999953
8,2,bounded_velocity,5,1.0,1.0,1.0,1.0,0.0,0.0,0.8145718742079571,9.536743172944284e-08,0.07438940717576117,0.001467243438146628,0.0002344184987787614,0.0,0.0,0,0,0.00055362499999978
8,2,combined_perturbation,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7708879197519066,0.050053216808744264,0.07475353097046325,0.0017217947723333546,0.0003169510668163903,0.0,0.0,0,0,0.0005510415000000712
8,2,exact_topology,5,1.0,1.0,1.0,1.0,0.0,0.0,0.8999999999999999,9.536743172944284e-08,9.536743172944284e-08,9.536743172944284e-08,5.551115123125783e-17,0.0,0.0,0,0,0.0005234789999999379
8,5,bounded_position,5,1.0,1.0,1.0,1.0,0.0,0.0,0.8052020462576758,0.05005320874675915,0.05005320874675915,0.0006109209251469176,0.00012991029121994059,0.0,0.0,0,0,0.0006417499999997744
8,5,bounded_velocity,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7698895884723808,2.6656007424024197e-08,0.07428956436977954,0.0013799987340742813,0.00011060315225482733,0.0,0.0,0,0,0.0006455625000003629
8,5,combined_perturbation,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7864670202301708,0.05005320874675915,0.08109921836461367,0.001515698462342929,0.0002447014563454265,0.0,0.0,0,0,0.0006401455000002443
