R_keep,R_line,R_split,benchmark_tag,best_mode,family,keep_regret,layout_id,mode_margin,mode_necessity,qualified,step,team_size
0.0,0.0,0.0,scenario-headroom-v1-invalid-recovery-label,keep,infeasible,0.0,val_infeasible_001,0.0,0,0,0,4
0.0,0.0,0.0,scenario-headroom-v1-invalid-recovery-label,keep,infeasible,0.0,val_infeasible_001,0.0,0,0,40,4
0.0,0.0,0.0,scenario-headroom-v1-invalid-recovery-label,keep,infeasible,0.0,val_infeasible_001,0.0,0,0,80,4
0.0,0.0,0.0,scenario-headroom-v1-invalid-recovery-label,keep,infeasible,0.0,val_infeasible_001,0.0,0,0,0,6
0.0,0.0,0.0,scenario-headroom-v1-invalid-recovery-label,keep,infeasible,0.0,val_infeasible_001,0.0,0,0,40,6
0.0,0.0,0.0,scenario-headroom-v1-invalid-recovery-label,keep,infeasible,0.0,val_infeasible_001,0.0,0,0,80,6
0.0,0.0,0.0,scenario-headroom-v1-invalid-recovery-label,keep,infeasible,0.0,val_infeasible_002,0.0,0,0,0,4
0.0,0.0,0.0,scenario-headroom-v1-invalid-recovery-label,keep,infeasible,0.0,val_infeasible_002,0.0,0,0,40,4
0.0,0.0,0.0,scenario-headroom-v1-invalid-recovery-label,keep,infeasible,0.0,val_infeasible_002,0.0,0,0,80,4
0.0,0.0,0.0,scenario-headroom-v1-invalid-recovery-label,keep,infeasible,0.0,val_infeasible_002,0.0,0,0,0,6
0.0,0.0,0.0,scenario-headroom-v1-invalid-recovery-label,keep,infeasible,0.0,val_infeasible_002,0.0,0,0,40,6
0.0,0.0,0.0,scenario-headroom-v1-invalid-recovery-label,keep,infeasible,0.0,val_infeasible_002,0.0,0,0,80,6
