team_size,topology_id,fixture_class,heading_radians,episode_count,valid_initial_condition_rate,collision_free_rate,dwell_completion_rate,goal_reaching_rate,deadlock_rate,numerical_failure_rate,minimum_robot_robot_distance_meters,mean_initial_formation_error_meters,mean_maximum_formation_error_meters,mean_final_formation_error_meters,mean_final_goal_error_meters,mean_saturation_rate,mean_projection_intervention_rate,projection_infeasible_count,solver_failure_count,median_of_episode_controller_latency_seconds
12,0,open_translation,1.0471975511965976,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7375870993826587,0.05438256227716617,0.11584474893315803,0.0021618676781058666,0.07371897785978336,0.009999999999999998,0.009999999999999998,0,0,0.0010780420000000568
12,2,open_translation,0.0,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7464375115929908,0.054382633466675746,0.1320893449024512,0.0053646458175285044,0.073283564305718,0.009166666666666667,0.009166666666666667,0,0,0.000751061999999969
12,2,open_translation,1.0471975511965976,5,1.0,1.0,1.0,1.0,0.0,0.0,0.758976337833657,0.05438262615946521,0.1265188533131114,0.005906212157544011,0.07371361685257559,0.009791666666666666,0.009791666666666666,0,0,0.0007479374999999067
12,5,open_translation,0.0,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7235994426461554,0.05438255088021641,0.13239314202356828,0.004934681510615628,0.07306825053892582,0.008333333333333333,0.008333333333333333,0,0,0.0009985210000000855
12,5,open_translation,1.0471975511965976,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7312131523560905,0.05438256227260836,0.13165407605907775,0.0043237168097206265,0.07368315056517541,0.008958333333333334,0.008958333333333334,0,0,0.0010101039999996786
16,0,open_translation,0.0,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7287734355670469,0.05655455638009046,0.12249971264174289,0.0036582688050562787,0.07378706193379385,0.00796875,0.00796875,0,0,0.0015129794999997337
16,0,open_translation,1.0471975511965976,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7201355684794695,0.05655455269327954,0.12479376757389063,0.0047304045308258725,0.0738160971262818,0.008749999999999999,0.008749999999999999,0,0,0.0014973125000006249
16,2,open_translation,0.0,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7442842740696243,0.05655448493556572,0.13036890777757318,0.005935390100801321,0.07364054300451055,0.008125,0.008125,0,0,0.0008592080000004998
16,2,open_translation,1.0471975511965976,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7871980850537688,0.0565545574562226,0.13295379092197432,0.00635293513463413,0.07361798283927631,0.0084375,0.0084375,0,0,0.0008599375000004628
16,5,open_translation,0.0,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7182039017228975,0.05655452577511231,0.12514404851129585,0.005002290871663954,0.07370509671777123,0.008125,0.008125,0,0,0.0012121045000004216
