method,scenario,team_size,episodes,evaluation_schema_version,goal_reached_mean,collision_free_mean,collision_free_terminal_mean,success_mean,success_terminal_mean,robot_robot_collision_steps_mean,robot_obstacle_collision_steps_mean,min_rr_clearance_mean,min_ro_clearance_mean,deadlock_mean,deadlock_terminal_mean,irreversible_collapse_mean,irreversible_collapse_terminal_mean,form_rms_mean_mean,form_rms_max_mean,form_ok_terminal_mean,time_in_formation_tube_mean,stall_rate_mean,completion_time_mean,topology_switches_mean,safety_filter_activations_mean,safety_filter_activation_rate_mean,inference_latency_mean_ms_mean,inference_latency_median_ms_mean,inference_latency_p95_ms_mean,inference_latency_p99_ms_mean,timed_control_steps_mean,steps_mean,completion_censored_mean
rvt_swarm,narrow_passage,4,30,2,0.0,0.8666666666666667,1.0,0.0,0.0,0.23333333333333334,0.06666666666666667,0.40513390600681304,0.5497482856114705,0.13333333333333333,0.13333333333333333,1.0,0.9,0.8900301531360792,1.8506043831507364,0.06666666666666667,0.25555555555555554,0.07694444444444445,nan,12.666666666666666,105.93333333333334,0.8827777777777778,1.2980601555554077,1.3000320666655796,1.4273548633325344,1.491010145000691,120.0,120.0,1.0
rvt_swarm,narrow_passage,8,30,2,0.0,0.3,0.9,0.0,0.0,2.4,4.1,0.39634564717610676,0.5440709332625071,0.13333333333333333,0.13333333333333333,1.0,1.0,1.1534801946952942,2.1954177101453145,0.0,0.14277777777777778,0.03194444444444444,nan,14.0,110.2,0.9183333333333334,2.5319633769444474,2.524222983333383,2.820032768334381,2.963465323332585,120.0,120.0,1.0
orca,open_field,4,30,2,0.9666666666666667,1.0,1.0,0.9333333333333333,0.9333333333333333,0.0,0.0,0.6392812629540762,1.1314163148403167,0.0,0.0,0.0,0.0,0.34458257957691374,0.9047806719938914,0.9666666666666667,0.7801613191669927,0.0,13.406896551724136,0.26666666666666666,0.0,0.0,0.2120787082735673,0.21086388333368214,0.23484117666579132,0.2620337006676626,90.4,90.4,0.03333333333333333
orca,open_field,8,30,2,0.7666666666666667,1.0,1.0,0.5666666666666667,0.5666666666666667,0.0,0.0,0.4676606297492981,0.6935141921043396,0.0,0.0,0.0,0.0,0.5519069840448396,1.4102674881617228,0.6,0.6580829644017651,0.0,15.971739130434784,0.5666666666666667,0.0,0.0,0.4343623313264996,0.43373743333177117,0.47524824833343376,0.5089921436672901,109.63333333333334,109.63333333333334,0.23333333333333334
orca,narrow_passage,4,30,2,0.0,0.8666666666666667,0.9333333333333333,0.0,0.0,0.0,0.7666666666666667,0.48717586596806844,0.5494756281375885,0.03333333333333333,0.0,0.16666666666666666,0.06666666666666667,0.7355289100151924,1.143140830596288,0.1,0.2877777777777777,0.0038888888888888888,nan,0.6666666666666666,0.0,0.0,3.0415989216666057,3.038913900000987,3.1437874449991434,3.294384791998847,120.0,120.0,1.0
orca,narrow_passage,8,30,2,0.0,0.6333333333333333,0.8666666666666667,0.0,0.0,0.7,2.533333333333333,0.400961501399676,0.5472031533718109,0.03333333333333333,0.0,0.36666666666666664,0.13333333333333333,0.845932888156838,1.4188700517018635,0.0,0.18888888888888886,0.008055555555555555,nan,1.0,0.0,0.0,3.5565931458332525,3.5572701499991886,3.679276883331776,3.7740729623327005,120.0,120.0,1.0
cbf_qp,open_field,4,30,2,1.0,1.0,1.0,0.9666666666666667,0.9666666666666667,0.0,0.0,0.6643713166316351,1.1557501792907714,0.0,0.0,0.0,0.0,0.3196553633936088,0.9013809621334076,0.9666666666666667,0.8192136603802485,0.0,13.54,0.0,0.0,0.0,0.16636209379574327,0.16003330000179025,0.21737329833091698,0.2324340823374579,90.26666666666667,90.26666666666667,0.0
cbf_qp,open_field,8,30,2,0.8666666666666667,0.9666666666666667,1.0,0.7666666666666667,0.7666666666666667,0.1,0.0,0.4746175706386566,0.7446320513884227,0.0,0.0,0.03333333333333333,0.0,0.5024307240995548,1.4008272806803386,0.8,0.7192154988438805,0.0,15.946153846153845,0.0,0.0,0.0,0.46262230366837237,0.47059728333114964,0.566689691665753,0.6114185293330744,108.13333333333334,108.13333333333334,0.13333333333333333
cbf_qp,narrow_passage,4,30,2,0.23333333333333334,0.7333333333333333,1.0,0.2,0.23333333333333334,0.03333333333333333,0.6666666666666666,0.44465431074301404,0.5488424956798553,0.3333333333333333,0.26666666666666666,0.43333333333333335,0.26666666666666666,0.5765404073721776,1.0467053870360057,0.43333333333333335,0.5389239700323277,0.07027777777777779,16.22142857142857,0.0,0.0,0.0,0.4532637633802529,0.4548548833345952,0.5213324833332914,0.5643505380001272,117.23333333333333,117.23333333333333,0.7666666666666667
cbf_qp,narrow_passage,8,30,2,0.0,0.3333333333333333,1.0,0.0,0.0,1.9,2.9,0.39773833056290947,0.5435812681913376,0.4,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.7092647046761381,1.2683327714602153,0.06666666666666667,0.36333333333333334,0.07388888888888888,nan,0.0,0.0,0.0,1.0501828827777535,1.0490562166684942,1.1980294716682731,1.4247771973353074,120.0,120.0,1.0
